title,company,location,description,technologies,frameworks,certifications,salary_range,date_posted,recruiter,url
,,,"At Corsearch, we are dedicated to creating a world where consumers can trust the choices they make.","['Rust', 'R']",[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/python-developer-at-corsearch-4265344286?position=1&pageNum=0&refId=fzl4XYTxyP%2BiWgyGJDteJQ%3D%3D&trackingId=tkVcSzoc7YjgTUsIlwj49Q%3D%3D
,,,"Passionné par la Data et l’innovation à base d’Intelligence Artificielle, vous souhaitez rejoindre une communauté d’experts dans le domaine afin de développer vos compétences en Architecture, Data Engineering et Data Science/IA. Aubay Data & AI, cabinet spécialisé Data de Aubay, renforce ses équipes et recherche des ML Engineers (H/F) pour accompagner nos clients dans l’industrialisation de leurs travaux Data Science/IA afin de leur permettre de concrétiser leur stratégie Data.",['R'],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/ml-engineer-f-h-at-aubay-3927669539?position=1&pageNum=0&refId=X69bAQTY%2FAM1cJxkroe33w%3D%3D&trackingId=31RIKLdqpLncg%2BfkZXHt1Q%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-lago-4257098466?position=1&pageNum=0&refId=VllcndOTSO%2BFmBcs51bIQA%3D%3D&trackingId=JYQegLRAaeIixMnsrwj9LQ%3D%3D
,,,"DevOps | Cloud Engineer


Jus Mundi Is Hiring!

DevOps | Cloud Engineer



Built on groundbreaking technology, Jus Mundi was shaped by former lawyers and tech visionaries. Using sophisticated AI, our arbitration intelligence platform taps into the world's largest arbitration and international law database, offering unparalleled access to treaties, case law, and publications from around the world. Beyond providing access, it drives accessibility, ensuring every individual and professional is equipped with democratized arbitration tools. That’s why we developed Jus Connect, our sister platform, to further harness our technological prowess and streamline the selection of conflict-free arbitration professionals while building up data-backed business development opportunities. Jus Mundi's platforms form a nexus, creating an interconnected legal ecosystem that pioneers the synergy of arbitration, law, and technology. This synergy is powering the future of global justice.



Join Jus Mundi – To Power Global Justice 🚀⚖️

Founded in 2019 and recognized as a mission-led company, is pioneering legal technology to power global justice through artificial intelligence. 🌍 Headquartered in Paris, with additional offices in New York, London, and Singapore, Jus Mundi serves over 150,000 users, including top law firms, multinational corporations, government bodies, and academic institutions in more than 80 countries. By combining legal expertise with cutting-edge AI technology, we provide global legal intelligence, data-driven arbitration professional selection, and business development services.

🌟



📌 About the Role

Jus Mundi is looking for a full-time DevOps | Cloud Engineer to join the team. We want you to be part of a team of passionate people who are always ready to help each other. This position is based in with a very .

In the Tech/R&D department, you will help build, maintain, and scale our infrastructure with automation at the heart of everything you do.

We take pride in our very open-minded approach to employees' contributions: you’ll contribute to improving our systems and processes to support the continuous growth of

🌟Your mission at Jus Mundi





Here is a snippet of what technologies you will find at Jus Mundi:



But as we are explorers, we are open to new methods and technologies.



⚙️ Preferred Experience and Skills







Recruitment Process

🔄 Interview process

We’re proud of our multicultural team representing 37 nationalities! To ensure smooth communication, please apply in English.



Need More Reasons to Join Us? ✨





Additional Information



Sounds like something made for you?

Apply Now","['Go', 'R']",[],['DevOps'],,2025-08-12,,https://fr.linkedin.com/jobs/view/devops-cloud-engineer-at-jus-connect-4278751994?position=1&pageNum=0&refId=9dQeA12aEQxq8BaqJOb08A%3D%3D&trackingId=%2BdSguNIljprJmq8qife%2Bqw%3D%3D
,,,"We're looking for Full-Stack Developers to join our quickly growing team and help us invent how we learn about the world in VR.

Your goal is to design, architect & implement applications to support our ambition to build the largest collection of educational and documentary immersive VR content.

You will work in feature team and should be comfortable with autonomy and ownership of large areas of the product.



















ASAP



At Wonda VR, we are on a mission to revolutionize how we discover and learn about the world around us.

Founded by an award-winning team of creative storytellers and software engineers, we design intuitive tools and robust solutions to make the most of emerging VR, AR & MR technologies.

Our flagship product: Wonda VR Studio & Publishing Suite, is an all-in-one mobile/desktop application to create and share immersive learning & discovery experiences easily and beautifully on all platforms.

In 1 year, our platform has been chosen by over 5,000 creators, educators and communicators working for top brands and institutions such as Ebay, Cisco, NYU, Pearson or Harvard University.","['Go', 'R']",[],['Cisco'],,2025-08-12,,https://fr.linkedin.com/jobs/view/full-stack-developers-at-wonda-4121502195?position=1&pageNum=0&refId=zW5nXMkTyB9DTfPySljzKQ%3D%3D&trackingId=e4MsjC4NTO4T5%2FBCqcmL3Q%3D%3D
,,,"L’équipe Tech s’agrandit et recherche son/sa futur·e Backend Engineer Junior.

Batch est une destinée aux grandes entreprises du secteur B2C (retail, médias, luxe, banques, services) avec des millions de profils clients.

Batch permet aux équipes marketing de recueillir et d’unifier la donnée client partout où elle se trouve via des APIs et des SDKs, de communiquer nativement via tous les canaux (Email, Push Notifications Mobile et Web, SMS, Messages In-App) et de se connecter facilement aux autres plateformes MarTech (CDPs, Analytics, etc.).

La Tech chez Batch est organisée en squads: 3 squads métiers, 1 squad Infra et 1 squad Platform.

Concrètement, notre stack technique ressemble à ça : une architecture microservices où Kafka est central pour nos flux de données. On code principalement en Go et Java. Pour nos bases de données, c'est un cocktail de Cassandra, Clickhouse, Redis, et MariaDB, choisi selon les besoins. Le tout est bien sûr conteneurisé avec Docker et orchestré par Kubernetes.

Le/la Backend Engineer travaille pour faire évoluer le produit de Batch afin de gérer plus de clients, plus de données, et d'améliorer la performance globale de la plateforme. Un véritable challenge au quotidien !





Par essence nous sommes très ouverts à la découverte de nouvelles technologies et nous serions ravis d’accueillir des idées nouvelles.

Rejoindre nos équipes c’est être confronté à des challenges toujours grandissants et de les résoudre avec brio.











Batch réalise ses entretiens en plusieurs étapes simples & lisibles pour tous les candidats:","['Java', 'Go', 'R']",[],"['Docker', 'Kubernetes']",,2025-08-12,,https://fr.linkedin.com/jobs/view/back-end-software-engineer-junior-at-batch-4237623957?position=1&pageNum=0&refId=31pWJcrykV1Ox24z4FYyHw%3D%3D&trackingId=03WnruCebResOdRN4P22HA%3D%3D
,,,"La team platform s’agrandit et recherche son/sa futur·e Machine Learning Engineer 👋

Batch souhaite accélérer sa stratégie IA pour 2025 et au‑delà. Le/la futur·e Machine Learning Engineer, aura un rôle hybride mêlant modélisation et construction de plateforme :



La part de travail consacrée à la modélisation pourra varier selon les projets, certains cycles étant plus orientés plateforme et industrialisation, d’autres davantage centrés sur le développement de nouveaux modèles.

Le poste est hébergé au sein de l’équipe , dont la mission est de créer des socles techniques réutilisables au service de toutes les équipes produit. L’équipe est et le/la futur.e Machine Learning Engineer reportera directement à Rémi.

La construction de cette future ML Platform s’intègera autour de notre stack backend existante : une architecture micro‑services en Go et Java, largement orientée autour de Kafka, et reposant sur plusieurs bases de données orientées haute volumétrie telles que Cassandra ou ClickHouse.

Tout en s’inscrivant dans cet environnement, le rôle offre la , dans un contexte où la plateforme reste à construire.

Cette stack s’exécute sur une infrastructure opérée en interne, offrant tous les avantages du cloud tout en étant déployée sur un .

Les pratiques d’ **(LLM et Foundation Models) sont déjà amorcées et animées en interne. Sans que ce soit un pré-requis, le/la futur·e Machine Learning Engineer pourra également y contribuer en fonction des besoins et des opportunités.

👉 Missions :

de machine learning pour répondre à nos cas d’usage stratégiques.



pour faciliter l’expérimentation, l’industrialisation et le déploiement des modèles.



pour assurer une intégration fluide des modèles et la cohérence technique globale.

(LLM et Foundation Models) en coordination avec les personnes déjà impliquées.

Le plus



👉 Profil recherché :



👉 Process de recrutement :

Batch réalise ses entretiens, en plusieurs étapes simples & lisibles pour tous les candidats :","['Java', 'Go', 'R']",[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-batch-4276894826?position=1&pageNum=0&refId=zGayMGakFm9OyDE39jJoTw%3D%3D&trackingId=fi3v9pZ2ka68sk5mWTU2gg%3D%3D
,,,"La team platform s’agrandit et recherche son/sa futur·e Machine Learning Engineer 👋

Batch souhaite accélérer sa stratégie IA pour 2025 et au‑delà. Le/la futur·e Machine Learning Engineer, aura un rôle hybride mêlant modélisation et construction de plateforme :



La part de travail consacrée à la modélisation pourra varier selon les projets, certains cycles étant plus orientés plateforme et industrialisation, d’autres davantage centrés sur le développement de nouveaux modèles.

Le poste est hébergé au sein de l’équipe , dont la mission est de créer des socles techniques réutilisables au service de toutes les équipes produit. L’équipe est et le/la futur.e Machine Learning Engineer reportera directement à Rémi.

La construction de cette future ML Platform s’intègera autour de notre stack backend existante : une architecture micro‑services en Go et Java, largement orientée autour de Kafka, et reposant sur plusieurs bases de données orientées haute volumétrie telles que Cassandra ou ClickHouse.

Tout en s’inscrivant dans cet environnement, le rôle offre la , dans un contexte où la plateforme reste à construire.

Cette stack s’exécute sur une infrastructure opérée en interne, offrant tous les avantages du cloud tout en étant déployée sur un .

Les pratiques d’ **(LLM et Foundation Models) sont déjà amorcées et animées en interne. Sans que ce soit un pré-requis, le/la futur·e Machine Learning Engineer pourra également y contribuer en fonction des besoins et des opportunités.

👉 Missions :

de machine learning pour répondre à nos cas d’usage stratégiques.



pour faciliter l’expérimentation, l’industrialisation et le déploiement des modèles.



pour assurer une intégration fluide des modèles et la cohérence technique globale.

(LLM et Foundation Models) en coordination avec les personnes déjà impliquées.

Le plus



👉 Profil recherché :



👉 Process de recrutement :

Batch réalise ses entretiens, en plusieurs étapes simples & lisibles pour tous les candidats :","['Java', 'Go', 'R']",[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/machine-learning-engineer-at-batch-4276894826?position=1&pageNum=0&refId=OAXwiosEKQgiEJ6R%2Foaqsw%3D%3D&trackingId=eRMuMC3%2FAagU2jDbObsPeQ%3D%3D
,,,"La team Engineering s’agrandit et recherche son/sa futur·e Site Reliability Engineer 👋

Batch est une destinée aux grandes entreprises du secteur B2C (retail, médias, luxe, banques, services) avec des millions de profils clients. Elle permet aux équipes marketing de recueillir et d’unifier la donnée client partout où elle se trouve via des APIs et des SDKs, de communiquer nativement via tous les canaux (Email, Push Notifications Mobile et Web, SMS, Messages In-App) et de se connecter facilement aux autres plateformes MarTech (CDPs, Analytics, etc.).

L'Engineering chez Batch est organisée en squads: 3 squads métiers, 1 squad Infra et 1 squad Platform.

Le/la Site Reliability Engineer aura pour mission de construire, de maintenir et d’améliorer de façon continue notre plateforme.

Quelques informations sur notre infrastructure :















Du fait de notre choix d’opérer notre propre infrastructure, de nombreux fondamentaux systèmes, doublés d’une volonté d’automatiser pour assurer la montée en charge :

: BGP, Routing avancé, VPN, NAT, Quagga, nftables

: HAProxy, Debian, Kubernetes, Cilium, DirectPV, KeaDHCP, Docker, Kafka, etcd, Cassandra, MariaDB, Clickhouse, Redis, Proxmox, Consul, Traefik

: Ansible, Pulumi, Terraform, ArgoCD

: VictoriaMetrics, Tempo, Grafana, AlertManager







Le poste est basé à Lyon où se trouve 90% de l’équipe infra.



Batch réalise ses entretiens, en plusieurs étapes simples & lisibles pour tous les candidats :","['Go', 'R']",[],"['Docker', 'Kubernetes']",,2025-08-12,,https://fr.linkedin.com/jobs/view/site-reliability-engineer-at-batch-4267388985?position=1&pageNum=0&refId=szOnTbv03l19YspeZ%2FwCyg%3D%3D&trackingId=UIvY6tvm5qlJHK6YWBx5%2Bg%3D%3D
,,,"Rejoignez l’équipe de Maxime, où vous serez immergé(e) au cœur d’une Business Unit dédiée aux études de grands projets dans le domaine du digital.

Nous recherchons un Développeur Full Stack talentueux pour rejoindre notre équipe à Lyon, France. En tant que membre clé de notre équipe de développement, vous travaillerez sur des projets de pointe, en mettant à profit votre expertise des technologies front-end et back-end pour créer des applications robustes et évolutives.





Rejoignez la et faites partie d'une aventure digitale passionnante au cœur de !



,





,",['R'],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-h-f-at-l-usine-nouvelle-4062801731?position=1&pageNum=0&refId=q2bNVySBc%2F8CQsESfI2ygg%3D%3D&trackingId=Yx8Ogva1t0mbavdUkd5JWw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-at-fortil-3872588438?position=1&pageNum=0&refId=VHynuhaYFxOqcrgRTL7eHg%3D%3D&trackingId=nxWhJjtQM%2F2EwS0ZlI3WlA%3D%3D
,,,"Licorne Society a été missionné par une startup en pleine croissance pour les aider à trouver leur Ingénieur IA



Au sein de l’équipe R&D, votre mission consiste à participer à des développements de spécifications fonctionnelles données, dans le domaine des data sciences et de l’intelligence artificielle.



Vous êtes responsable de faire évoluer l’application suivant ses objectifs temps réél et gain en

précision des modèles.

Votre mission principale consiste à des développements de modèles de Machine Learning appliqués à la vision par ordinateur (traitement d’images et de modèles 3D intra-oraux).



✓ serez responsable de la mise en place de :



✓ optimiserez les modèles existants,

✓ définirez de nouveaux modèles,



✓ Collaboration étroite avec les autres ingénieurs pour assurer l'interconnexion des modules

logiciels





✓ Bon niveau pour les environnements linux (Ubuntu)

✓ Notion de base pour l’environnement Windows



✓ Très bonnes connaissances des principes de base et des briques de base (Nets classiques,

Layers, monitoring d’un apprentissage).

✓ Savoir utiliser le framework PyTorch.



✓ Maîtrise de PyTorch

✓ Bon niveau de Python

✓ Notions de base du C++

4.4 Logiciel et outils

✓ Maitrise des outils de configuration (CMake)

✓ Maitrise des outils de versionnage (Git)



✓ Sens de l’initiative et de l’autonomie

✓ Force de proposition

✓ Passionné par son domaine

✓ Sens de l’organisation et rigueur

✓ Sens du détail

✓ Sens relationnel

✓ Respecter la confidentialité

✓ Intégrer les valeurs de l’entreprise qui exigent qualité et professionnalisme.

✓ Suivre les instructions de travail, le règlement intérieur et les chartes de l’entreprise.","['Python', 'C++', 'R']",[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-leonar-4282025860?position=1&pageNum=0&refId=VHEICzBBrM0N8Dp%2FC%2F724Q%3D%3D&trackingId=usHqWPlOejO8fMLrWI6whA%3D%3D
,,,"Licorne Society a été missionné par une startup en pleine croissance pour les aider à trouver leur Ingénieur IA



Au sein de l’équipe R&D, votre mission consiste à participer à des développements de spécifications fonctionnelles données, dans le domaine des data sciences et de l’intelligence artificielle.



Vous êtes responsable de faire évoluer l’application suivant ses objectifs temps réél et gain en

précision des modèles.

Votre mission principale consiste à des développements de modèles de Machine Learning appliqués à la vision par ordinateur (traitement d’images et de modèles 3D intra-oraux).



✓ serez responsable de la mise en place de :



✓ optimiserez les modèles existants,

✓ définirez de nouveaux modèles,



✓ Collaboration étroite avec les autres ingénieurs pour assurer l'interconnexion des modules

logiciels





✓ Bon niveau pour les environnements linux (Ubuntu)

✓ Notion de base pour l’environnement Windows



✓ Très bonnes connaissances des principes de base et des briques de base (Nets classiques,

Layers, monitoring d’un apprentissage).

✓ Savoir utiliser le framework PyTorch.



✓ Maîtrise de PyTorch

✓ Bon niveau de Python

✓ Notions de base du C++

4.4 Logiciel et outils

✓ Maitrise des outils de configuration (CMake)

✓ Maitrise des outils de versionnage (Git)



✓ Sens de l’initiative et de l’autonomie

✓ Force de proposition

✓ Passionné par son domaine

✓ Sens de l’organisation et rigueur

✓ Sens du détail

✓ Sens relationnel

✓ Respecter la confidentialité

✓ Intégrer les valeurs de l’entreprise qui exigent qualité et professionnalisme.

✓ Suivre les instructions de travail, le règlement intérieur et les chartes de l’entreprise.","['Python', 'C++', 'R']",[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-leonar-4282025860?position=1&pageNum=0&refId=NvOWr9u%2F%2BLKv76ufhU%2FEdg%3D%3D&trackingId=X2UL5o16Ia1G%2FDEh9xEmCA%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/devops-h-f-at-audensiel-4280640220?position=1&pageNum=0&refId=JlZIbf3AMc%2F2Q%2BwhxBeoAQ%3D%3D&trackingId=iow5fuWjcTJuJST40vP2mw%3D%3D
,,,"Job Type: Full Time

Tirane

We are looking for a to join our team of passionate and result driven individuals.









Please send your CV at: Only shortlisted candidates will be contacted for an interview",['R'],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/backend-developer-at-sparklab-4076621749?position=1&pageNum=0&refId=%2FAsv7%2BYBwtQs3Zttb9vXHQ%3D%3D&trackingId=CvcdveQtyx5apugl9i5Ztg%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-at-objectware-4231875674?position=1&pageNum=0&refId=AxUFrj5wa8thcU1P0HYnOQ%3D%3D&trackingId=QxTObMdWj12mSxvNWHA33g%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/data-scientist-f-h-nb-at-valeuriad-4256665672?position=1&pageNum=0&refId=%2BYXjxojEmAFuRCNLz8Mxuw%3D%3D&trackingId=%2BnhDBlE6gP9wQvbbZv4ooA%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/data-scientist-h-f-nantes-at-avisia-4250257572?position=1&pageNum=0&refId=fYhSghZvceR6DKy5kORG%2Fg%3D%3D&trackingId=LEPQBZr6XeTI0qPWR4%2FdPw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/cloud-engineer-devops-f-h-nantes-at-sfeir-4270599756?position=1&pageNum=0&refId=KqDYlxaJ5r3H4nsyJLyMlg%3D%3D&trackingId=Go03rwzn6RWmEMi2RKR8%2Bw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-javascript-h-f-at-amiltone-4282148511?position=1&pageNum=0&refId=%2Bw6HUWlklNg%2BaGFxQ6dTKg%3D%3D&trackingId=WcXR5FtXDgZ3%2FK4nA%2Fzmqg%3D%3D
